"","station","cldd","cdd","qual","lat","long"
"77","USC00013575","1849R",1849,"R",34.3347,-86.3294
"78","USC00013620","2099S",2099,"S",34.2314,-87.6353
"79","USC00013645","1661S",1661,"S",34.0967,-87.9914
"80","USC00013761","2432R",2432,"R",31.3625,-85.3397
"81","USC00013775","1512R",1512,"R",33.6483,-85.6006
"82","USC00013816","1647S",1647,"S",31.8814,-86.2503
"83","USC00014193","2165R",2165,"R",31.5253,-87.9278
"84","USC00014226","1704R",1704,"R",33.9047,-87.3153
"85","USC00014502","1637R",1637,"R",32.9069,-85.4336
"86","USC00014798","2043R",2043,"R",32.5811,-88.1897
"87","USC00015121","2052R",2052,"R",32.4714,-87.2314
"88","USC00015140","1784R",1784,"R",32.6667,-85.9167
"89","USC00015439","2157R",2157,"R",32.4419,-85.8889
"90","USC00015553","2113R",2113,"R",32.26,-86.2181
"91","USC00015635","1664S",1664,"S",34.4883,-87.2989
"92","USC00016121","1714R",1714,"R",33.9478,-86.4692
"93","USC00016129","1718R",1718,"R",32.6592,-85.4492
"94","USC00016478","1645S",1645,"S",33.6906,-86.685
"95","USC00016988","2336S",2336,"S",30.5653,-87.7017
"96","USC00017020","1711R",1711,"R",32.8711,-86.1758
"97","USC00017025","1598R",1598,"R",33.1581,-85.2911
"98","USC00017131","1657R",1657,"R",34.51,-87.7319
"99","USC00017157","1635R",1635,"R",34.1736,-86.8133
"100","USC00017207","1456S",1456,"S",34.2878,-85.9681
"101","USC00017304","1608R",1608,"R",34.6736,-86.0536
"102","USC00017366","2249R",2249,"R",32.4111,-87.0144
"103","USC00017999","1674S",1674,"S",33.2053,-86.2114
"104","USC00018024","1688S",1688,"S",33.4164,-86.135
"105","USC00018178","2189S",2189,"S",31.9172,-87.7347
"106","USC00018209","2036S",2036,"S",32.9206,-86.6708
"107","USC00018323","2146R",2146,"R",31.8075,-85.9722
"108","USC00018380","2348S",2348,"S",33.2119,-87.6161
"109","USC00018438","1891S",1891,"S",32.0142,-85.7464
"110","USC00018469","1395S",1395,"S",34.5667,-85.6128
"111","USC00018517","1864R",1864,"R",33.7392,-88.1275
"112","USC00018867","2029R",2029,"R",31.6508,-87.7097
"113","USC00018998","1581R",1581,"R",33.9111,-87.8475
"114","USC00020060","2547R",2547,"R",33.9433,-113.1875
"115","USC00020100","3757S",3757,"S",34.2281,-113.5778
"116","USC00020159","13R",13,"R",33.8492,-109.1469
"117","USC00020287","2397S",2397,"S",31.9792,-111.3831
"118","USC00020288","3619R",3619,"R",33.4625,-111.4814
"119","USC00020586","1519R",1519,"R",34.5972,-113.1739
"120","USC00020632","3709R",3709,"R",33.8097,-111.6497
"121","USC00020670","1746R",1746,"R",34.6417,-111.7831
"122","USC00020672","3135R",3135,"R",36.8969,-113.9425
"123","USC00020678","13R",13,"R",35.23,-111.8214
"124","USC00020683","1732R",1732,"R",31.8806,-110.2403
"125","USC00020750","589S",589,"S",36.6778,-110.5411
"126","USC00020775","1030R",1030,"R",31.4475,-109.9289
"127","USC00020808","556R",556,"R",33.4783,-109.7517
"128","USC00020871","220R",220,"R",34.6108,-111.1922
"129","USC00020949","3702S",3702,"S",33.9431,-114.0242
"130","USC00020958","2035S",2035,"S",32.325,-109.4917
"131","USC00021001","43R",43,"R",36.2147,-112.062
"132","USC00021026","3741R",3741,"R",33.3761,-112.5828
"133","USC00021050","4586S",4586,"S",35.1411,-114.5686
"134","USC00021169","1759R",1759,"R",35.8833,-111.4
"135","USC00021231","978S",978,"S",31.5589,-110.5294
"136","USC00021248","922S",922,"S",36.1533,-109.5394
"137","USC00021282","3514R",3514,"R",33.8161,-111.9019
"138","USC00021306","3791R",3791,"R",32.8878,-111.7117
"139","USC00021314","3581S",3581,"S",32.9947,-111.5367
"140","USC00021330","1946S",1946,"S",32.3222,-110.4147
"141","USC00021353","3339S",3339,"S",33.9825,-112.3617
"142","USC00021514","3592R",3592,"R",33.2058,-111.6819
"143","USC00021574","281R",281,"R",34.54,-110.9153
"144","USC00021614","2139R",2139,"R",34.3494,-111.6981
"145","USC00021664","1086R",1086,"R",32.0061,-109.3572
"146","USC00021849","2791R",2791,"R",33.0561,-109.3072
"147","USC00021920","965R",965,"R",36.9936,-112.9719
"148","USC00022109","1716S",1716,"S",34.305,-112.165
"149","USC00022140","1224S",1224,"S",31.3456,-110.2542
"150","USC00022329","645R",645,"R",34.2097,-112.3453
"151","USC00022434","3627R",3627,"R",32.9711,-113.4981
"152","USC00022527","633R",633,"R",35.2947,-113.3664
"153","USC00022659","2046R",2046,"R",31.345,-109.5394
"154","USC00022754","1760S",1760,"S",32.7481,-109.1214
"155","USC00022790","4460R",4460,"R",33.6133,-114.4706
"156","USC00022807","3488R",3488,"R",32.7819,-111.5186
"157","USC00023009","56R",56,"R",35.1611,-111.7311
"158","USC00023027","3729R",3729,"R",33.0364,-111.3881
"159","USC00023150","2249S",2249,"S",33.0094,-109.9855
"160","USC00023160","25S",25,"S",35.2681,-111.7428
"161","USC00023190","3773S",3773,"S",33.6028,-111.7131
"162","USC00023303","545R",545,"R",35.7164,-109.5661
"163","USC00023393","4328S",4328,"S",32.9481,-112.7131
"164","USC00023505","1828R",1828,"R",33.3767,-110.7711
"165","USC00023596","229S",229,"S",36.0528,-112.1503
"166","USC00023668","2911R",2911,"R",31.8931,-110.9978
"167","USC00023683","9R",9,"R",34.0219,-109.4519
"168","USC00023828","62R",62,"R",34.7433,-111.4139
"169","USC00024053","1388R",1388,"R",34.47,-112.8881
"170","USC00024089","1060S",1060,"S",34.9094,-110.1544
"171","USC00024453","1607S",1607,"S",34.7522,-112.1114
"172","USC00024586","543R",543,"R",35.8111,-110.1917
"173","USC00024645","1923R",1923,"R",35.2,-114.0167
"174","USC00024675","673R",673,"R",31.96,-111.5972
"175","USC00024686","770R",770,"R",35.55,-109.7
"176","USC00024702","4160S",4160,"S",33.2742,-113.9653
"177","USC00024759","4751R",4751,"R",34.45,-114.3667
"178","USC00024761","4643R",4643,"R",34.5031,-114.3603
"179","USC00024829","4156R",4156,"R",33.3369,-112.1472
"180","USC00024849","2619R",2619,"R",36.8644,-111.6022
"181","USC00024977","3904R",3904,"R",33.4992,-112.3631
"182","USC00025129","615R",615,"R",36.4192,-109.2269
"183","USC00025270","3806C",3806,"C",33.1139,-112.0303
"184","USC00025412","112S",112,"S",34.1142,-109.8589
"185","USC00025512","2648R",2648,"R",33.4044,-110.87
"186","USC00025635","1934S",1934,"S",34.6106,-111.8381
"187","USC00025665","1485R",1485,"R",36.9853,-110.12
"188","USC00025700","3795R",3795,"R",33.5544,-111.4425
"189","USC00025780","107R",107,"R",34.9364,-111.6392
"190","USC00025924","1591S",1591,"S",31.4553,-110.9681
"191","USC00026037","943R",943,"R",34.9589,-111.7553
"192","USC00026119","1782R",1782,"R",32.6025,-110.7344
"193","USC00026132","3419S",3419,"S",31.9556,-112.8003
"194","USC00026180","1826S",1826,"S",36.9208,-111.4483
"195","USC00026250","4361R",4361,"R",34.1547,-114.2897
"196","USC00026353","1498R",1498,"R",31.9356,-109.8378
"197","USC00026468","994S",994,"S",34.7994,-109.885
"198","USC00026471","3275S",3275,"S",36.1383,-112.0958
"199","USC00026513","3818R",3818,"R",32.6464,-111.4017
"200","USC00026597","198R",198,"R",34.1167,-109.9333
"201","USC00026616","1076S",1076,"S",36.8586,-112.7386
"202","USC00026653","643R",643,"R",34.0989,-110.9442
"203","USC00026716","492S",492,"S",31.8828,-109.2058
"204","USC00026796","817R",817,"R",34.5706,-112.4322
"205","USC00026840","2641R",2641,"R",33.8556,-111.3064
"206","USC00026865","4343R",4343,"R",33.665,-114.2272
"207","USC00027281","2994S",2994,"S",33.6731,-111.1508
"208","USC00027370","3731R",3731,"R",33.0722,-111.7661
"209","USC00027390","2243S",2243,"S",32.815,-109.6808
"210","USC00027435","772S",772,"S",34.5172,-109.4028
"211","USC00027480","2849R",2849,"R",33.1819,-110.5261
"212","USC00027488","715R",715,"R",35.2239,-109.3222
"213","USC00027560","1910R",1910,"R",32.2714,-109.2256
"214","USC00027593","2041R",2041,"R",31.7625,-110.8464
"215","USC00027619","1893R",1893,"R",31.4831,-111.5436
"216","USC00027625","1736R",1736,"R",31.5717,-111.5056
"217","USC00027708","1824R",1824,"R",34.8956,-111.7644
"218","USC00027716","789S",789,"S",35.3322,-112.8797
"219","USC00027855","601S",601,"S",34.2639,-110.0075
"220","USC00027880","1735R",1735,"R",31.5553,-110.2847
"221","USC00028012","724C",724,"C",34.5081,-110.0839
"222","USC00028018","731R",731,"R",34.5,-110.3333
"223","USC00028112","3269R",3269,"R",33.3814,-112.07
"224","USC00028162","220R",220,"R",34.1311,-109.275
"225","USC00028214","3390R",3390,"R",33.5575,-111.5358
"226","USC00028329","143S",143,"S",35.3694,-111.5436
"227","USC00028348","3277R",3277,"R",33.3003,-111.0972
"228","USC00028396","3903S",3903,"S",32.7225,-113.9192
"229","USC00028468","1328R",1328,"R",36.9233,-109.09
"230","USC00028499","3566R",3566,"R",33.4258,-111.9217
"231","USC00028516","3971R",3971,"R",36.03,-114.3289
"232","USC00028619","1818S",1818,"S",31.7119,-110.0686
"233","USC00028641","3795R",3795,"R",33.4203,-112.86
"234","USC00028792","1341R",1341,"R",36.1306,-111.2436
"235","USC00028795","3268R",3268,"R",32.2542,-111.1961
"236","USC00028796","3111R",3111,"R",32.2817,-110.9442
"237","USC00028800","2998R",2998,"R",32.25,-110.8333
"238","USC00028815","3284S",3284,"S",32.2292,-110.9536
"239","USC00028817","3265R",3265,"R",32.2581,-111.0053
"240","USC00028865","1850S",1850,"S",31.5678,-111.0497
"241","USC00028904","2077R",2077,"R",34.7706,-112.0264
"242","USC00029114","2198R",2198,"R",36.9953,-111.4914
"243","USC00029158","588S",588,"S",34.9281,-112.8097
"244","USC00029271","790R",790,"R",33.8214,-109.9839
"245","USC00029287","2528S",2528,"S",33.9792,-112.7403
"246","USC00029309","2669R",2669,"R",34.7061,-113.6136
"247","USC00029334","1653S",1653,"S",32.2553,-109.8369
"248","USC00029359","322S",322,"S",35.2406,-112.1903
"249","USC00029376","4459R",4459,"R",35.8686,-114.6611
"250","USC00029410","266R",266,"R",35.6169,-109.1244
"251","USC00029542","1541S",1541,"S",35.5247,-111.3703
"252","USC00029634","4109S",4109,"S",33.595,-112.3014
"253","USC00029645","3346S",3346,"S",34.8775,-114.1344
"254","USC00029652","3811R",3811,"R",32.6114,-114.635
"255","USC00029656","4140R",4140,"R",32.7278,-114.6217
"256","USC00030064","1757S",1757,"S",35.9289,-91.0583
"257","USC00030130","1646S",1646,"S",34.7961,-92.8417
"258","USC00030220","1921R",1921,"R",34.1433,-93.0589
"259","USC00030240","2076S",2076,"S",34.025,-91.3444
"260","USC00030458","1437S",1437,"S",35.8306,-91.7944
"261","USC00030460","1744R",1744,"R",35.76,-91.6389
"262","USC00030536","2047S",2047,"S",35.4583,-91.0561
"263","USC00030582","2007R",2007,"R",34.5675,-92.6006
"264","USC00030586","1337R",1337,"R",36.3219,-94.215
"265","USC00030764","1495R",1495,"R",34.5697,-93.1947
"266","USC00030798","1978S",1978,"S",35.1161,-93.6506
"267","USC00030806","1946S",1946,"S",35.9239,-89.9044
"268","USC00030832","1771S",1771,"S",35.0931,-93.9258
"269","USC00030936","1924R",1924,"R",34.8822,-91.2153
"270","USC00031102","1892R",1892,"R",34.9817,-92.0064
"271","USC00031132","1299S",1299,"S",36.1092,-92.1636
"272","USC00031140","1972R",1972,"R",33.3111,-92.485
"273","USC00031152","2040S",2040,"S",33.59,-92.8236
"274","USC00031191","2117R",2117,"R",33.9153,-91.7711
"275","USC00031442","1951R",1951,"R",34.68,-91.2208
"276","USC00031455","1714R",1714,"R",35.4833,-93.45
"277","USC00031459","1869R",1869,"R",35.4564,-93.4425
"278","USC00031596","1843R",1843,"R",35.0833,-92.4294
"279","USC00031632","1794S",1794,"S",36.4197,-90.5858
"280","USC00031730","1964S",1964,"S",33.1111,-91.9481
"281","USC00031838","1972S",1972,"S",35.2342,-93.1675
"282","USC00031900","989S",989,"S",35.8272,-93.2044
"283","USC00031948","1910S",1910,"S",34.0464,-94.3481
"284","USC00031962","2316S",2316,"S",33.5597,-91.385
"285","USC00031968","2095R",2095,"R",34.9772,-91.4978
"286","USC00032148","2118S",2118,"S",33.8847,-91.5317
"287","USC00032355","2492S",2492,"S",33.1144,-91.2628
"288","USC00032356","1471R",1471,"R",36.4164,-93.7917
"289","USC00032366","1658R",1658,"R",36.0717,-91.6169
"290","USC00032444","1517R",1517,"R",36.1006,-94.1744
"291","USC00032540","1760S",1760,"S",33.8228,-92.3989
"292","USC00032794","1521S",1521,"S",35.9914,-92.7147
"293","USC00032930","1566S",1566,"S",36.4261,-94.4481
"294","USC00032962","1541R",1541,"R",35.2353,-92.3619
"295","USC00032978","1635S",1635,"S",35.5206,-91.9997
"296","USC00033242","2183R",2183,"R",34.5211,-90.59
"297","USC00033428","1992S",1992,"S",33.7089,-93.5561
"298","USC00033466","2025S",2025,"S",34.5128,-93.0486
"299","USC00033544","1468S",1468,"S",36.07,-93.7522
"300","USC00033734","1735S",1735,"S",35.8489,-90.6589
"301","USC00033821","2071S",2071,"S",35.6872,-90.0964
"302","USC00033862","2029S",2029,"S",34.6033,-91.9928
"303","USC00034106","1184S",1184,"S",36.4194,-92.9158
"304","USC00034134","1835R",1835,"R",34.1742,-92.5947
"305","USC00034185","2094R",2094,"R",33.3614,-93.5675
"306","USC00034548","2029S",2029,"S",33.295,-93.2325
"307","USC00034562","1940R",1940,"R",34.3947,-92.8364
"308","USC00034572","1318S",1318,"S",36.4947,-91.535
"309","USC00034638","2067S",2067,"S",34.7392,-90.7664
"310","USC00034666","1363R",1363,"R",35.9156,-92.6394
"311","USC00034756","1517R",1517,"R",34.5731,-94.2494
"312","USC00034938","1769R",1769,"R",35.1581,-92.7672
"313","USC00034988","1529S",1529,"S",34.5408,-93.5878
"314","USC00035018","1500R",1500,"R",35.6494,-94.1542
"315","USC00035036","1542R",1542,"R",36.3458,-92.3939
"316","USC00035046","1649R",1649,"R",35.8444,-92.0978
"317","USC00035079","1595R",1595,"R",34.0783,-93.7019
"318","USC00035112","2188S",2188,"S",33.9294,-93.8583
"319","USC00035186","1880S",1880,"S",35.6042,-91.2744
"320","USC00035200","1791R",1791,"R",34.9553,-93.1594
"321","USC00035376","2079R",2079,"R",33.7667,-93.9167
"322","USC00035508","1656R",1656,"R",35.4833,-93.8167
"323","USC00035512","1725R",1725,"R",35.5125,-93.8683
"324","USC00035563","1805S",1805,"S",36.0336,-90.4978
"325","USC00035754","2162R",2162,"R",34.2256,-92.0189
"326","USC00035820","1573R",1573,"R",36.2639,-90.9681
"327","USC00035866","2112S",2112,"S",33.2511,-91.5058
"328","USC00035908","1821S",1821,"S",33.8203,-93.3878
"329","USC00036253","2174S",2174,"S",33.8103,-91.2778
"330","USC00036376","2059R",2059,"R",34.3703,-91.1242
"331","USC00036506","1908S",1908,"S",35.2683,-91.7164
"332","USC00036562","1950S",1950,"S",34.3019,-92.3914
"333","USC00036768","1830R",1830,"R",33.9153,-92.8267
"334","USC00036920","2043S",2043,"S",34.4744,-91.4172
"335","USC00036928","1837S",1837,"S",35.3028,-93.6369
"336","USC00037488","1625S",1625,"S",34.8992,-94.1942
"337","USC00037582","1949S",1949,"S",33.6044,-92.0997
"338","USC00037712","2021S",2021,"S",35.1242,-90.1805
"339","USC00038052","1816S",1816,"S",35.2547,-90.7964
"340","USC00038084","1464R",1464,"R",36.2,-92.6667
"341","USC00040029","376R",376,"R",41.1936,-120.9447
"342","USC00040136","1241R",1241,"R",32.8358,-116.7775
"343","USC00040161","206R",206,"R",41.4931,-120.5528
"344","USC00040192","1638R",1638,"R",33.8647,-117.8425
"345","USC00040212","692S",692,"S",38.5731,-122.4406
"346","USC00040232","1220R",1220,"R",37.9856,-121.7458
"347","USC00040343","1916S",1916,"S",36.4914,-118.8253
"348","USC00040379","1663S",1663,"S",37.0919,-119.5128
"349","USC00040383","1395S",1395,"S",38.9072,-121.0839
"350","USC00040436","3821R",3821,"R",35.2761,-116.0628
"351","USC00040449","1840R",1840,"R",36.9092,-119.0883
"352","USC00040521","2440R",2440,"R",34.8928,-117.0219
"353","USC00040673","395S",395,"S",37.0856,-122.0797
"354","USC00040693","174R",174,"R",37.8744,-122.2606
"355","USC00040738","892R",892,"R",40.7406,-123.2078
"356","USC00040741","87S",87,"S",34.2442,-116.9039
"357","USC00040790","215R",215,"R",36.2472,-121.7803
"358","USC00040924","4089R",4089,"R",33.6131,-114.5972
"359","USC00040931","33S",33,"S",39.3886,-120.0936
"360","USC00040943","2S",2,"S",38.2119,-119.0142
"361","USC00040983","3760S",3760,"S",33.2314,-116.4144
"362","USC00041018","356R",356,"R",39.4539,-120.6556
"363","USC00041048","3878R",3878,"R",32.9544,-115.5581
"364","USC00041072","33S",33,"S",38.2575,-119.2286
"365","USC00041214","198R",198,"R",40.8803,-121.6547
"366","USC00041244","1970S",1970,"S",35.4047,-119.4731
"367","USC00041253","861S",861,"S",34.5825,-119.9817
"368","USC00041277","257S",257,"S",38.2769,-120.3114
"369","USC00041312","788R",788,"R",38.5961,-122.6014
"370","USC00041316","268C",268,"C",41.3111,-122.8045
"371","USC00041428","1485S",1485,"S",38.2486,-120.8433
"372","USC00041476","213R",213,"R",41.4219,-120.9017
"373","USC00041484","1435R",1435,"R",34.1819,-118.5744
"374","USC00041497","227S",227,"S",40.1703,-121.0883
"375","USC00041606","523R",523,"R",41.1417,-123.1392
"376","USC00041614","481S",481,"S",41.5306,-120.1803
"377","USC00041697","671S",671,"S",37.9747,-119.9161
"378","USC00041700","155R",155,"R",40.3033,-121.2422
"379","USC00041715","1387R",1387,"R",39.6911,-121.8211
"380","USC00041758","733R",733,"R",32.64,-117.0858
"381","USC00041806","756R",756,"R",38.9239,-122.5672
"382","USC00041838","1149R",1149,"R",38.8,-123.0175
"383","USC00041864","2156S",2156,"S",36.1356,-120.3606
"384","USC00041912","918S",918,"S",39.0911,-120.9481
"385","USC00041948","1325R",1325,"R",39.1875,-122.0269
"386","USC00041967","991R",991,"R",37.9833,-122.0692
"387","USC00042012","1808S",1808,"S",36.0975,-119.5817
"388","USC00042081","691S",691,"S",39.8158,-123.2444
"389","USC00042147","4S",4,"S",41.7958,-124.2147
"390","USC00042214","712R",712,"R",34.0053,-118.4136
"391","USC00042239","419R",419,"R",32.9897,-116.5872
"392","USC00042294","1238S",1238,"S",38.535,-121.7761
"393","USC00042319","5569R",5569,"R",36.4622,-116.8669
"394","USC00042331","876R",876,"R",37.3739,-117.9803
"395","USC00042338","771R",771,"R",39.3,-120.8333
"396","USC00042402","852R",852,"R",39.8717,-121.6108
"397","USC00042456","912R",912,"R",39.3575,-121.2011
"398","USC00042467","55S",55,"S",39.3239,-120.2331
"399","USC00042500","443S",443,"S",39.5633,-120.8239
"400","USC00042506","352R",352,"R",39.9717,-120.0828
"401","USC00042574","596S",596,"S",41.1833,-122.2736
"402","USC00042598","4209S",4209,"S",33.8089,-115.4508
"403","USC00042640","1078R",1078,"R",39.3592,-122.5178
"404","USC00042671","80R",80,"R",38.7833,-120.0333
"405","USC00042706","1406R",1406,"R",32.8139,-116.975
"406","USC00042709","1460R",1460,"R",32.8839,-116.8164
"407","USC00042713","4127S",4127,"S",32.7669,-115.5617
"408","USC00042728","1106R",1106,"R",38.3306,-120.6706
"409","USC00042771","1583S",1583,"S",34.5892,-117.6303
"410","USC00042805","1878R",1878,"R",33.6692,-117.3319
"411","USC00042863","1360R",1360,"R",33.1211,-117.0883
"412","USC00042934","1044S",1044,"S",38.2736,-122.0678
"413","USC00042941","1591R",1591,"R",34.705,-118.4242
"414","USC00043083","1811R",1811,"R",36.3642,-120.1561
"415","USC00043113","1535R",1535,"R",38.7,-121.1667
"416","USC00043157","310S",310,"S",41.52,-120.09
"417","USC00043161","2R",2,"R",39.5092,-123.7567
"418","USC00043191","11R",11,"R",38.515,-123.2447
"419","USC00043244","396R",396,"R",37.5422,-122.0158
"420","USC00043256","1993R",1993,"R",36.7525,-119.7017
"421","USC00043261","1811R",1811,"R",36.9969,-119.7072
"422","USC00043417","783R",783,"R",37.0067,-121.5633
"423","USC00043463","455S",455,"S",35.7269,-118.7006
"424","USC00043489","4532R",4532,"R",32.8833,-114.8667
"425","USC00043551","151S",151,"S",36.7394,-118.9631
"426","USC00043573","657R",657,"R",39.2042,-121.0681
"427","USC00043578","292C",292,"C",38.4306,-122.8647
"428","USC00043647","44R",44,"R",40.4864,-123.9089
"429","USC00043669","657R",657,"R",37.8444,-120.2258
"430","USC00043710","2263S",2263,"S",36.1389,-117.9528
"431","USC00043714","6R",6,"R",37.4725,-122.4433
"432","USC00043747","1791S",1791,"S",36.3158,-119.6369
"433","USC00043824","291S",291,"S",40.9317,-121.5433
"434","USC00043855","3340S",3340,"S",33.7044,-115.6289
"435","USC00043875","840S",840,"S",38.6175,-122.8731
"436","USC00043896","1734R",1734,"R",33.7381,-116.8939
"437","USC00043914","655R",655,"R",33.2372,-116.7614
"438","USC00043939","546S",546,"S",37.9614,-119.7831
"439","USC00044025","420R",420,"R",36.8483,-121.4214
"440","USC00044176","40R",40,"R",37.2275,-119.2206
"441","USC00044211","491S",491,"S",33.7572,-116.7067
"442","USC00044223","3793S",3793,"S",32.8489,-115.5667
"443","USC00044232","1858S",1858,"S",36.7981,-118.2036
"444","USC00044259","4649R",4649,"R",33.7086,-116.2153
"445","USC00044278","2284R",2284,"R",35.6514,-117.8214
"446","USC00044297","4690S",4690,"S",34.1472,-115.1219
"447","USC00044374","168R",168,"R",41.2683,-120.2947
"448","USC00044500","413R",413,"R",37.9569,-122.5439
"449","USC00044523","1606R",1606,"R",35.7831,-118.4389
"450","USC00044555","577S",577,"S",36.2069,-121.1378
"451","USC00044577","3R",3,"R",41.5786,-124.0747
"452","USC00044647","617R",617,"R",33.5453,-117.7814
"453","USC00044671","386S",386,"S",34.2467,-117.1883
"454","USC00044712","1585R",1585,"R",38.4919,-122.0039
"455","USC00044713","136R",136,"R",39.3183,-120.6392
"456","USC00044735","1286R",1286,"R",32.7675,-117.0233
"457","USC00044838","350S",350,"S",41.7019,-121.5011
"458","USC00044881","267R",267,"R",37.9567,-119.1194
"459","USC00044890","1882C",1882,"C",36.3817,-119.0264
"460","USC00044957","1747R",1747,"R",36.2033,-119.0545
"461","USC00044997","904S",904,"S",37.6922,-121.7692
"462","USC00045026","21S",21,"S",36.6044,-118.7325
"463","USC00045032","1138R",1138,"R",38.1061,-121.2878
"464","USC00045064","130R",130,"R",34.6539,-120.4514
"465","USC00045118","1709S",1709,"S",37.0564,-120.8667
"466","USC00045120","1737R",1737,"R",36.9897,-120.9297
"467","USC00045123","575S",575,"S",37.2319,-121.9592
"468","USC00045233","1624R",1624,"R",36.9539,-120.0378
"469","USC00045280","29R",29,"R",37.6478,-118.9617
"470","USC00045311","78S",78,"S",40.5411,-121.5767
"471","USC00045360","1100S",1100,"S",38.4917,-122.1242
"472","USC00045378","588S",588,"S",38.0131,-122.1142
"473","USC00045385","1822R",1822,"R",39.1458,-121.5853
"474","USC00045449","381R",381,"R",41.2514,-122.1383
