AQW00061705        6090C
USC00022527         633R
USC00022659        2046R
USC00022754        1760S
USC00022782        3807Q
USC00022790        4460R
USC00022807        3488R
USC00023009          56R
USC00023027        3729R
USC00023110        1615Q
USC00023150        2249S
USC00023160          25S
USC00023190        3773S
USC00023250         769Q
USC00023303         545R
USC00023393        4328S
USC00023505        1828R
USC00023596         229S
USC00023668        2911R
USC00023683           9R
USC00023828          62R
USC00023961         302Q
USC00024053        1388R
USC00024089        1060S
USC00024453        1607S
USC00024586         543R
USC00024645        1923R
USC00024675         673R
USC00024686         770R
USC00024702        4160S
USC00024759        4751R
USC00024761        4643R
USC00024829        4156R
USC00024849        2619R
USC00024977        3904R
USC00025129         615R
USC00025270        3806C
USC00025412         112S
USC00025426        2898Q
USC00025512        2648R
USC00025635        1934S
USC00025665        1485R
USC00025700        3795R
USC00025780         107R
USC00025825        1148Q
USC00025924        1591S
USC00026037         943R
USC00026119        1782R
USC00026132        3419S
USC00026180        1826S
USC00026190         966Q
USC00026194        4243Q
USC00026242         773Q
USC00026250        4361R
USC00026353        1498R
USC00026468         994S
USC00026471        3275S
USC00026513        3818R
USC00026597         198R
USC00026601         273Q
USC00026603        3214Q
USC00026616        1076S
USC00026653         643R
USC00026716         492S
USC00026796         817R
USC00026840        2641R
USC00026865        4343R
USC00027281        2994S
USC00027370        3731R
USC00027390        2243S
USC00027435         772S
USC00027480        2849R
USC00027488         715R
USC00027560        1910R
USC00027593        2041R
USC00027619        1893R
USC00027625        1736R
USC00027708        1824R
USC00027716         789S
USC00027855         601S
USC00027880        1735R
USC00028012         724C
USC00028018         731R
USC00028112        3269R
USC00028162         220R
USC00028214        3390R
USC00028329         143S
USC00028348        3277R
USC00028396        3903S
USC00028468        1328R
USC00028499        3566R
USC00028516        3971R
USC00028619        1818S
USC00028641        3795R
USC00028792        1341R
USC00028795        3268R
USC00028796        3111R
USC00028800        2998R
USC00028815        3284S
USC00028817        3265R
USC00028865        1850S
USC00028904        2077R
USC00029114        2198R
USC00029156         414Q
USC00029158         588S
USC00029271         790R
USC00029287        2528S
USC00029309        2669R
USC00029334        1653S
USC00029359         322S
USC00029376        4459R
USC00029410         266R
USC00029464        3620Q
USC00029542        1541S
USC00029634        4109S
USC00029645        3346S
USC00029652        3811R
USC00029656        4140R
USC00030064        1757S
USC00030130        1646S
USC00030220        1921R
USC00030240        2076S
USC00030458        1437S
USC00030460        1744R
USC00030536        2047S
USC00030582        2007R
USC00030586        1337R
USC00030618        1496Q
USC00030664        1481Q
USC00030764        1495R
USC00030798        1978S
USC00030806        1946S
USC00030832        1771S
USC00030936        1924R
USC00031102        1892R
USC00031132        1299S
USC00031140        1972R
USC00031152        2040S
USC00031191        2117R
USC00031442        1951R
USC00031455        1714R
USC00031457        1539Q
USC00031459        1869R
USC00031596        1843R
USC00031632        1794S
USC00031730        1964S
USC00031838        1972S
USC00031900         989S
USC00031948        1910S
USC00031962        2316S
USC00031968        2095R
USC00032148        2118S
USC00032355        2492S
USC00032356        1471R
USC00032366        1658R
USC00032444        1517R
USC00032540        1760S
USC00032794        1521S
USC00032930        1566S
USC00032962        1541R
USC00032978        1635S
USC00033132        1736Q
USC00033242        2183R
USC00033428        1992S
USC00033466        2025S
USC00033544        1468S
USC00033734        1735S
USC00033821        2071S
USC00033862        2029S
USC00033909        1272Q
USC00034106        1184S
USC00034134        1835R
USC00034185        2094R
USC00034528        1868Q
USC00034548        2029S
USC00034562        1940R
USC00034572        1318S
USC00034638        2067S
USC00034666        1363R
USC00034711        1933Q
USC00034756        1517R
USC00034938        1769R
USC00034988        1529S
USC00035018        1500R
USC00035036        1542R
USC00035046        1649R
USC00035079        1595R
USC00035112        2188S
USC00035186        1880S
USC00035200        1791R
USC00035376        2079R
USC00035508        1656R
USC00035512        1725R
USC00035563        1805S
USC00035754        2162R
USC00035820        1573R
USC00035831        1768Q
USC00035866        2112S
USC00035908        1821S
USC00036174        2287Q
USC00036253        2174S
USC00036376        2059R
USC00036403        1415Q
USC00036506        1908S
USC00036562        1950S
USC00036768        1830R
USC00036920        2043S
USC00036928        1837S
USC00037488        1625S
USC00037582        1949S
USC00037712        2021S
USC00038010        1753Q
USC00038052        1816S
USC00038084        1464R
USC00040029         376R
USC00040136        1241R
USC00040161         206R
USC00040192        1638R
USC00040212         692S
USC00040232        1220R
USC00040343        1916S
USC00040379        1663S
USC00040383        1395S
USC00040436        3821R
USC00040444        1996Q
USC00040449        1840R
USC00040521        2440R
USC00040673         395S
USC00040693         174R
USC00040738         892R
USC00040741          87S
USC00040755         480Q
USC00040790         215R
USC00040924        4089R
USC00040931          33S
USC00040943           2S
USC00040983        3760S
USC00041018         356R
USC00041048        3878R
USC00041072          33S
USC00041214         198R
USC00041244        1970S
USC00041253         861S
USC00041277         257S
USC00041312         788R
USC00041316         268C
USC00041428        1485S
USC00041476         213R
USC00041484        1435R
USC00041497         227S
USC00041534         292Q
USC00041606         523R
USC00041614         481S
USC00041697         671S
USC00041700         155R
USC00041715        1387R
USC00041738        3045Q
USC00041754         168Q
USC00041758         733R
USC00041806         756R
USC00041838        1149R
USC00041864        2156S
USC00041912         918S
USC00041948        1325R
USC00041967         991R
USC00042012        1808S
USC00042081         691S
USC00042147           4S
USC00042214         712R
USC00042239         419R
USC00042294        1238S
USC00042319        5569R
USC00042331         876R
USC00042338         771R
USC00042402         852R
USC00042410        4024Q
USC00042456         912R
USC00042467          55S
USC00042500         443S
USC00042506         352R
USC00042574         596S
USC00042598        4209S
USC00042640        1078R
USC00042671          80R
USC00042706        1406R
USC00042709        1460R
USC00042713        4127S
USC00042728        1106R
USC00042771        1583S
USC00042805        1878R
USC00042863        1360R
USC00042934        1044S
USC00042941        1591R
USC00043083        1811R
USC00043113        1535R
USC00043157         310S
USC00043161           2R
USC00043191          11R
USC00043244         396R
USC00043256        1993R
USC00043261        1811R
USC00043384        1186Q
USC00043392        1073Q
USC00043417         783R
USC00043463         455S
USC00043489        4532R
USC00043551         151S
USC00043573         657R
USC00043578         292C
USC00043647          44R
USC00043669         657R
USC00043710        2263S
USC00043714           6R
USC00043747        1791S
USC00043824         291S
USC00043855        3340S
USC00043875         840S
USC00043882         771Q
USC00043896        1734R
USC00043914         655R
USC00043939         546S
USC00044025         420R
USC00044176          40R
USC00044211         491S
USC00044223        3793S
USC00044232        1858S
USC00044259        4649R
USC00044278        2284R
USC00044297        4690S
USC00044303        1339Q
USC00044374         168R
USC00044405        2325Q
USC00044412         784Q
USC00044500         413R
USC00044523        1606R
USC00044534        2040Q
USC00044555         577S
USC00044577           3R
USC00044647         617R
USC00044671         386S
USC00044712        1585R
USC00044713         136R
USC00044735        1286R
USC00044838         350S
USC00044881         267R
USC00044890        1882C
USC00044957        1747R
USC00044997         904S
USC00045026          21S
USC00045032        1138R
USC00045064         130R
USC00045118        1709S
USC00045120        1737R
USC00045123         575S
USC00045233        1624R
USC00045280          29R
USC00045311          78S
USC00045360        1100S
USC00045378         588S
USC00045385        1822R
USC00045449         381R
USC00045502        4109R
USC00045532        1559S
USC00045679          68S
USC00045721        2003S
USC00045756        2004R
USC00045790        1737R
USC00045795          62S
USC00045802          30R
USC00045853         886Q
USC00045866         105R
USC00045892        1374Q
USC00045915         963R
USC00045933         730S
USC00045968         527Q
USC00046006         976R
USC00046074         564S
USC00046136         792S
USC00046144         429S
USC00046154        1057R
USC00046161        1754R
USC00046168        1848R
USC00046172        1332R
USC00046174        1743R
USC00046175         388R
USC00046252        1159Q
USC00046263        1609R
USC00046336         243R
USC00046370         391Q
USC00046377         256R
USC00046386        4698Q
USC00046399         854R
USC00046498           5R
USC00046506        1561S
USC00046508         781R
USC00046521        1482R
USC00046569         318R
USC00046572         343R
USC00046599         167R
USC00046610         331R
USC00046624        1991S
USC00046635        4343S
USC00046646         353R
USC00046657         876S
USC00046685        1533S
USC00046699        4163S
USC00046719        1781R
USC00046730         788S
USC00046773        1969R
USC00046826         339S
USC00046926         546R
USC00046943          63R
USC00046960        1312R
USC00046962        1526R
USC00047050        1450R
USC00047077        2220R
USC00047085         110S
USC00047109         823S
USC00047150         740S
USC00047195         325R
USC00047228         940R
USC00047253        1955S
USC00047306        1680S
USC00047339         484R
USC00047404         450S
USC00047414         190R
USC00047470        1942R
USC00047473        1658R
USC00047641           7R
USC00047643         848S
USC00047668          87R
USC00047689        1076R
USC00047723        1989R
USC00047741         379Q
USC00047767          19R
USC00047785        1399R
USC00047807          18R
USC00047813        1742R
USC00047821         636S
USC00047836        1201Q
USC00047846        1593R
USC00047851         293S
USC00047874        1302R
USC00047880         395R
USC00047888        1217S
USC00047902         407R
USC00047916         170S
USC00047953         303S
USC00047957         531R
USC00047965         459S
USC00048025         804Q
USC00048045          72S
USC00048135        1883S
USC00048163         116R
USC00048200        3370Q
USC00048207         454R
USC00048218         137Q
USC00048273         570R
USC00048351         578S
USC00048353         873R
USC00048380         150R
USC00048490         375Q
USC00048560        1389R
USC00048587        1313R
USC00048606         324S
USC00048655        1770R
USC00048702         490R
USC00048713        1331R
USC00048752        1916R
USC00048758          25S
USC00048826         670R
USC00048829         675Q
USC00048873         137R
USC00048904         856Q
USC00048917        1687S
USC00048928         867R
USC00048999        1145Q
USC00049001        1498R
USC00049026         673R
USC00049035        3193R
USC00049043          47S
USC00049053         168R
USC00049073        1558R
USC00049087         910R
USC00049099        3219R
USC00049102        3594Q
USC00049105           7R
USC00049111         321R
USC00049122         835S
USC00049152         792S
USC00049200        1523S
USC00049325        1824R
USC00049351          61Q
USC00049367        1769S
USC00049378         834R
USC00049440         646R
USC00049452        2042R
USC00049473         123S
USC00049490         722R
USC00049621        1820R
USC00049671        1590R
USC00049684         154S
USC00049694         838Q
USC00049699        1547R
USC00049742        1735C
USC00049781        1553R
USC00049785        1480Q
USC00049792         618R
USC00049822         213R
USC00049847        1317Q
USC00049855         738R
USC00049859         567Q
USC00049866         622S
USC00050109         758R
USC00050128          23Q
USC00050185          19R
USC00050214         317S
USC00050263       -7777S
USC00050301         734R
USC00050306         853Q
USC00050372          47S
USC00050454          15S
USC00050754         108Q
USC00050776          78R
USC00050797          87R
USC00050825           0Q
USC00050834         932R
USC00050848         611S
USC00050945         531S
USC00050950         671S
USC00051017         111R
USC00051018         530Q
USC00051060         250R
USC00051071         107R
USC00051121         844R
USC00051179         688S
USC00051186           1S
USC00051268        1257S
USC00051294         704R
USC00051401         434R
USC00051440         502R
USC00051443         482R
USC00051458          33S
USC00051528         261S
USC00051539         939R
USC00051547         616R
USC00051564         968S
USC00051609          50S
USC00051620         682Q
USC00051660       -7777R
USC00051681          18R
USC00051713          23S
USC00051741         415R
USC00051743         416R
USC00051772        1252R
USC00051886         579S
USC00051932         209R
USC00051939           3R
USC00051948           2Q
USC00051959           1S
USC00051964          71R
USC00051977          22Q
USC00051996         868R
USC00052184           9S
USC00052192         675R
USC00052196         759R
USC00052223         951R
USC00052281           1S
USC00052286         675S
USC00052342         487Q
USC00052432         354R
USC00052441         204R
USC00052446         981R
USC00052631         360R
USC00052759          58R
USC00052761          76Q
USC00052790          86S
USC00052816       -7777Q
USC00052932         720R
USC00052947         759R
USC00052965           1R
USC00053005         569S
USC00053006         537R
USC00053016          80R
USC00053038         681R
USC00053116       -7777R
USC00053146         862R
USC00053246        1092R
USC00053258         572Q
USC00053261          25R
USC00053307         413R
USC00053359         358R
USC00053387         162Q
USC00053446           1Q
USC00053489        1219S
USC00053496           2C
USC00053500           2S
USC00053530           5S
USC00053541         116S
USC00053553         969S
USC00053592          17R
USC00053629         105Q
USC00053662          10R
USC00053867         201C
USC00053951           4R
USC00054054          13R
USC00054076        1161R
USC00054082         678S
USC00054135           6R
USC00054172         541R
USC00054242         794R
USC00054250         356R
USC00054254         244Q
USC00054380         792R
USC00054388        1251R
USC00054413         887R
USC00054444         693R
USC00054452         737R
USC00054538         917R
USC00054546         840R
USC00054603         872R
USC00054606         844R
USC00054664          34R
USC00054724        1231R
USC00054726        1197S
USC00054734           8R
USC00054742           9S
USC00054762         729S
USC00054770        1196S
USC00054834        1277S
USC00054934          38S
USC00054945         748S
USC00055025         659R
USC00055056         543R
USC00055116         528R
USC00055236         439R
USC00055322          55S
USC00055327          93R
USC00055402         660R
USC00055414           3R
USC00055422         536R
USC00055427         408R
USC00055446         183R
USC00055484          95R
USC00055507          18R
USC00055531         480S
USC00055706          18R
USC00055722         554S
USC00055734         202R
USC00055797           1R
USC00055922         594R
USC00055934         234R
USC00055970         264R
USC00055984         865R
USC00056012         214S
USC00056023         534R
USC00056040          18Q
USC00056131         966R
USC00056136         928R
USC00056203          71R
USC00056205          73Q
USC00056258          88R
USC00056259          96Q
USC00056266        1114S
USC00056306         650S
USC00056318         684R
USC00056320         711Q
USC00056323         425R
USC00056326         589R
USC00056520         117Q
USC00056765        1092R
USC00056816         624R
USC00056832         624S
USC00056970          18R
USC00056977          11R
USC00057017           1R
USC00057020          69R
USC00057031         555R
USC00057050       -7777R
USC00057167        1127S
USC00057249         521R
USC00057287         438R
USC00057296          47R
USC00057309           6R
USC00057317         269R
USC00057337          67R
USC00057370         140R
USC00057430          99R
USC00057450           0Q
USC00057515         726S
USC00057519         724Q
USC00057557         563R
USC00057560         598R
USC00057572         149R
USC00057582        1020Q
USC00057656       -7777R
USC00057848          14R
USC00057866         986R
USC00057936          49S
USC00057950         962R
USC00058008         849R
USC00058022         387R
USC00058064       -7777R
USC00058157        1055S
USC00058184       -7777R
USC00058204           1S
USC00058290        1069R
USC00058429         572S
USC00058436         379R
USC00058501           2R
USC00058560        1149R
USC00058575           3R
USC00058582          73R
USC00058690         118R
USC00058756           2S
USC00058781         535S
USC00058793        1147S
USC00058839         573S
USC00058860           8Q
USC00058931          24R
USC00058995         512S
USC00059058         769Q
USC00059060         700Q
USC00059096           9R
USC00059181           0R
USC00059243         882R
USC00059265          24R
USC00059275         518R
USC00059278         360Q
USC00059295         958S
USC00060227         400R
USC00060808         745Q
USC00060961         583R
USC00060973         603S
USC00061762         813R
USC00062658         399R
USC00063207         705R
USC00063420         377Q
USC00064488         495R
USC00064767         782R
USC00065077         754R
USC00065445         329S
USC00065910         662S
USC00067373         280R
USC00067958         438Q
USC00067970         799R
USC00068138         490R
USC00069388         465R
USC00069568         431R
USC00071200        1020Q
USC00072730        1314S
USC00073570        1143R
USC00073595        1072R
USC00075320        1417S
USC00075915        1152R
USC00076410        1223R
USC00079605        1071S
USC00080228        3191R
USC00080236        3070S
USC00080369        3362S
USC00080414        4556Q
USC00080478        3603S
USC00080598        2479Q
USC00080611        3481R
USC00080737        3481Q
USC00080945        3545R
USC00080992        3638Q
USC00081046        3337R
USC00081163        2951R
USC00081276        3526R
USC00081306        4351R
USC00081544        2666R
USC00081641        3281R
USC00081651        3465Q
USC00081654        3788R
USC00081795        4672P
USC00081858        3954R
USC00081978        3042R
USC00082008        2421R
USC00082046        4653Q
USC00082150        2926Q
USC00082220        2462R
USC00082229        2809R
USC00082298        3543S
USC00082418        4581R
USC00082441        4602R
USC00082850        4107R
USC00082915        2979R
USC00082944        2803S
USC00083020        4072R
USC00083026        3040Q
USC00083137        3068R
USC00083153        3122Q
USC00083163        4041S
USC00083168        4207R
USC00083207        3448R
USC00083322        2613R
USC00083470        2310S
USC00083874        2400S
USC00083909        4177S
USC00083956        2635R
USC00084050        4123Q
USC00084095        3775R
USC00084210        3572R
USC00084289        2912S
USC00084320        4533Q
USC00084366        2877R
USC00084394        2362S
USC00084412        4200Q
USC00084461        4174Q
USC00084625        3145S
USC00084662        3190R
USC00084707        3415R
USC00084731        2640S
USC00084802        3314R
USC00085076        2960S
USC00085099        2873R
USC00085184        3931R
USC00085275        2416S
USC00085359        2956Q
USC00085539        2638S
USC00085667        4113R
USC00085793        2117R
USC00085879        2315R
USC00085880        2306Q
USC00085895        3591R
USC00085973        3569R
USC00086065        3438S
USC00086078        3947R
USC00086129        2247Q
USC00086240        2194R
USC00086315        4119Q
USC00086406        4168R
USC00086414        3126S
USC00086485        3492R
USC00086618        2823R
USC00086657        3343Q
USC00086764        3473Q
USC00086767        2634R
USC00086828        2481Q
USC00086842        2783R
USC00086880        3288R
USC00087020        3414R
USC00087025        2682S
USC00087205        3286S
USC00087228        2932Q
USC00087254        4350R
USC00087261        2990Q
USC00087304        3432Q
USC00087397        3724S
USC00087429        2385R
USC00087760        4468R
USC00087826        2869S
USC00087851        3488S
USC00087982        3449S
USC00088076        2401Q
USC00088368        3194Q
USC00088529        2537R
USC00088565        2551R
USC00088620        3808R
USC00088756        2569Q
USC00088780        4157R
USC00088824        3228S
USC00088841        4670R
USC00088942        3486S
USC00089120        2488R
USC00089176        3426R
USC00089219        3304R
USC00089401        3671S
USC00089430        3076R
USC00089511        4172Q
USC00089566        2225S
USC00089640        2616Q
USC00089707        3688R
USC00090010        2083Q
USC00090140        2448S
USC00090181        1593R
USC00090219        1336R
USC00090236        1294R
USC00090253        2006R
USC00090311        1719S
USC00090406        2189R
USC00090586        2483R
USC00090603        1105Q
USC00090670        2235Q
USC00090969         820R
USC00090979        2258R
USC00091266        2318S
USC00091340        2736S
USC00091448        2010R
USC00091463        2367Q
USC00091474        1657R
USC00091500        2245R
USC00091640        1392S
USC00091665        1775R
USC00091732        1507S
USC00091863        1494R
USC00091908        1433Q
USC00091965        1179Q
USC00091973        2315R
USC00091982         869S
USC00092006         917Q
USC00092153        2419R
USC00092159        2141R
USC00092180        1527S
USC00092266        2138S
USC00092283        1167S
USC00092318        1800R
USC00092361        2216Q
USC00092408        1301Q
USC00092450        1945S
USC00092475         950R
USC00092485        1568C
USC00092493        1600R
USC00092517        1544R
USC00092738        2727Q
USC00092783        2350R
USC00092839        2181S
USC00092966        2100S
USC00093060        1291C
USC00093271        1721R
USC00093325        2522R
USC00093386        2324R
USC00093465        2955S
USC00093506        1633R
USC00093538        2579S
USC00093578        2165Q
USC00093621        1422S
USC00093658        2146Q
USC00093754        2364R
USC00093915        1788R
USC00094133        1592S
USC00094138        1732Q
USC00094170        2078R
USC00094204        2323R
USC00094230         982R
USC00094429        2180R
USC00094594        2197R
USC00094648        1221S
USC00094674        2726R
USC00094676        2093R
USC00094700        1742R
USC00094862        1962Q
USC00094941        1317R
USC00094949        1745R
USC00095061        2230Q
USC00095165        1678Q
USC00095314        2085S
USC00095394        2043R
USC00095401        2217Q
USC00095404        1274Q
USC00095550        2128R
USC00095666        1783R
USC00095811        2393R
USC00095863        2076R
USC00095874        2009S
USC00095882        2005R
USC00095988        1627S
USC00096087        2377R
USC00096093         383Q
USC00096148        1975R
USC00096219        2152R
USC00096244        2218R
USC00096335        1648R
USC00096838        2204Q
USC00097087        1858S
USC00097171        2135R
USC00097276        2246S
USC00097528        2082Q
USC00097600        1788S
USC00097777        1972S
USC00097808        2544R
USC00097827         505R
USC00098064        1797S
USC00098436        1487Q
USC00098476        1996R
USC00098496        2302R
USC00098535        1680R
USC00098661        1813S
USC00098666        2433Q
USC00098703        2207R
USC00098740        1490R
USC00098950        1691S
USC00098974        2371Q
USC00099027        2149Q
USC00099124        2067R
USC00099141        1762S
USC00099157        1724S
USC00099186        2341S
USC00099194        2128R
USC00099291        1708S
USC00099466        1598R
USC00099486        1435R
USC00099502        2291R
USC00100010         297S
USC00100227         378R
USC00100282         653Q
USC00100347         302R
USC00100375         313R
USC00100448         729S
USC00100470         139R
USC00100528         301Q
USC00100667         156R
USC00100803         147R
USC00100915         445R
USC00101017         665S
USC00101018         937Q
USC00101079         265S
USC00101180        1296R
USC00101195        1062S
USC00101220         625S
USC00101363         178S
USC00101380         992R
USC00101408         704S
USC00101514          88R
USC00101551         534S
USC00101663         388R
USC00101671          77S
USC00101831         174Q
USC00101956         391R
USC00102159         330S
USC00102187         680Q
USC00102246         128R
USC00102260         326R
USC00102390          42R
USC00102444         792R
USC00102575          11R
USC00102577           2Q
USC00102676          57S
USC00102707         284S
USC00102845         624S
USC00102875          55S
USC00102892         138R
USC00102942         722S
USC00103108         173R
USC00103110         120R
USC00103143         404R
USC00103297         240S
USC00103448         313S
USC00103554         126R
USC00103558          77Q
USC00103631         892R
USC00103732         181S
USC00103760         803S
USC00103771         258S
USC00103882          63R
USC00103932         680R
USC00103940         227Q
USC00103964         273R
USC00104140         533S
USC00104150          99R
USC00104268         143R
USC00104295         508Q
USC00104318         714Q
USC00104384         311R
USC00104442         200S
USC00104455         415S
USC00104456         124S
USC00104598          43R
USC00104670         715R
USC00104793         568Q
USC00104831         300S
USC00104845          72R
USC00105013         388R
USC00105015         477Q
USC00105038         727R
USC00105143         306Q
USC00105177          45R
USC00105275         168S
USC00105414         107R
USC00105462         128R
USC00105563         315R
USC00105567         374R
USC00105678         511R
USC00105685         120R
USC00105708          62S
USC00105716         275R
USC00105897         167S
USC00105980         463R
USC00106152         267S
USC00106174         916R
USC00106230         160R
USC00106250         240R
USC00106305         779S
USC00106388          90R
USC00106424         159S
USC00106542         475S
USC00106586         474R
USC00106764         259R
USC00106844         734S
USC00106877         449S
USC00106891         777S
USC00107040         194S
USC00107046         109R
USC00107188         232R
USC00107208         614R
USC00107210         651Q
USC00107264         273R
USC00107301         131S
USC00107320         104S
USC00107346         381R
USC00107386         133C
USC00107563          60R
USC00107644         251R
USC00107648         468S
USC00107673         378S
USC00107689         327Q
USC00107706         845R
USC00107808         244Q
USC00107968         370R
USC00108022         134S
USC00108062         327S
USC00108080         268S
USC00108137         208S
USC00108380         731R
USC00108395         437R
USC00108412         427R
USC00108535         128R
USC00108676           9S
USC00108928        1172S
USC00108937         187S
USC00109000         335R
USC00109065          63R
USC00109293         706R
USC00109303         389S
USC00109498         215R
USC00109560          10R
USC00109638         881R
USC00109698         317Q
USC00109846         106S
USC00109950         124Q
USC00109951          23R
USC00109963         524R
USC00110055        1476R
USC00110072         800S
USC00110137        1576R
USC00110140         729Q
USC00110187        1352S
USC00110203         702R
USC00110306         925R
USC00110338         890S
USC00110356         822Q
USC00110442         649R
USC00110598        1084R
USC00110608        1402R
USC00110764         954R
USC00110993        1349S
USC00111020        1344R
USC00111160        1399S
USC00111265        1391S
USC00111280        1118R
USC00111290        1278R
USC00111302        1264R
USC00111420         833R
USC00111436        1186S
USC00111475        1000S
USC00111497         759S
USC00111550        1025Q
USC00111835         689R
USC00111836         913R
USC00112140        1041S
USC00112193        1216S
USC00112223         769S
USC00112348         726S
USC00112353        1568R
USC00112483        1386S
USC00112500         781R
USC00112736         769R
USC00112745         617R
USC00112931        1219S
USC00112993         883R
USC00113106        1245R
USC00113109        1270S
USC00113262         708S
USC00113290         899S
USC00113320         924S
USC00113335         817S
USC00113369         875R
USC00113384         995S
USC00113413         869R
USC00113455        1020R
USC00113530        1039R
USC00113580        1447R
USC00113612        1357Q
USC00113717        1008R
USC00113879        1406R
USC00113940        1162R
USC00114013         942R
USC00114078        1168Q
USC00114108        1459S
USC00114198        1079S
USC00114317        1352Q
USC00114400        1196R
USC00114442         977S
USC00114447        1167Q
USC00114489        1147S
USC00114530         882S
USC00114603         951S
USC00114629        1502R
USC00114710         764R
USC00114780         857Q
USC00114805        1141S
USC00114823        1006R
USC00114837         705R
USC00114957        1297R
USC00114991        1287Q
USC00115079        1017R
USC00115097         683Q
USC00115113        1054Q
USC00115326         712R
USC00115342        1095R
USC00115372         736R
USC00115413        1041R
USC00115430        1212R
USC00115493         621R
USC00115515        1280R
USC00115712         941S
USC00115768         978S
USC00115772         866R
USC00115825         937R
USC00115833         830S
USC00115841        1082S
USC00115888        1380S
USC00115901         728R
USC00115943        1179S
USC00115950        1132R
USC00115961         680R
USC00116011        1302S
USC00116025        1094Q
USC00116080        1012R
USC00116157        1235R
USC00116159         937R
USC00116200         939R
USC00116383        1465R
USC00116446        1204S
USC00116526         916S
USC00116558        1212R
USC00116579        1099R
USC00116610        1079S
USC00116616         907S
USC00116661         596R
USC00116663         822R
USC00116738        1102R
USC00116753         863S
USC00116819         939S
USC00116837        1120R
USC00116897         771R
USC00116910         926S
USC00116970        1025Q
USC00116998         963R
